?character	?state	?description 
<http://purl.org/phenoscape/uuid/9612b3fe-f13e-44d6-8a8f-1e745e2794d0>	<http://purl.org/phenoscape/uuid/e40d58a8-0ef8-4d8f-a47e-b7bbb1ed6a4d>	Nadadeira caudal (forma pós estágio larval): a condição bilobada (inclusive com o lóbulo superior mais desenvolvido) ou semi-circular a condição apomórfica
<http://purl.org/phenoscape/uuid/d732d399-5a63-4b43-9eb9-7409cea6028c>	<http://purl.org/phenoscape/uuid/e542f0c2-b175-4db7-8798-c7592edae2d7>	Anal-fin shape and relative length of fin rays: anterior portion of fin with elongate rays set off  from rest of fin
<http://purl.org/phenoscape/uuid/05ee48b3-9677-4c8a-b27a-69a0dd73813b>	<http://purl.org/phenoscape/uuid/e70d6e58-ca0b-45be-adb1-e9e2aa9f69bd>	Uroneural: present
<http://purl.org/phenoscape/uuid/26a90d8d-3acf-4f91-b6de-400f9a3e7b8f>	<http://purl.org/phenoscape/uuid/e7c2f2a4-5ca5-4662-817f-dfdc50aec766>	Pelvic-fin rays, serrations: absent
<http://purl.org/phenoscape/uuid/e95a75a8-5920-478f-b5a8-8c88f3c13076>	<http://purl.org/phenoscape/uuid/e94be36c-2897-47b2-bc43-95de32f87e29>	Dorsal and anal fins: subtriangular; dorsal-fin rays ii + 6 + 1i, anal-fin rays ii + 4 + I; rudimentary unsegmented ray immediately posterior to both dorsal- and anal-fin origin; anal-fin origin in vertical line posterior to dorsal-fin base
<http://purl.org/phenoscape/uuid/6bfec432-9ecc-44bc-95c7-aac772bf2666>	<http://purl.org/phenoscape/uuid/eb1bb572-f796-432b-aedf-4e6b1be761aa>	(cii.) Endoskeletal fin radials: present
<http://purl.org/phenoscape/uuid/8fdfb04e-bb30-4c54-b9dd-f2e81af6dfbe>	<http://purl.org/phenoscape/uuid/f06c1755-a304-4949-9441-d181a1b87c53>	Parhypural and centrum of PU1: parhypural forms a plate totally free from PU1
<http://purl.org/phenoscape/uuid/fc07afdb-b050-4dea-a14f-495460d6ad6d>	<http://purl.org/phenoscape/uuid/f088eac7-1ea7-4629-9012-944bf45d5d00>	Lepidotrichia in paired appendages: present
<http://purl.org/phenoscape/uuid/72327a96-8f7f-453d-8bcd-63592a14a123>	<http://purl.org/phenoscape/uuid/f966e1d3-f318-48e3-9851-b33c72aba8e2>	Anal fin: subtriangular, its origin in vertical posterior to dor-sal-fin base; anal-fin rays ii + 4 + i, plus two rudimentaryrays on fin origin
<http://purl.org/phenoscape/uuid/8c0c727c-ce67-4802-8ab1-bcf9be6f40bd>	<http://purl.org/phenoscape/uuid/01d52baf-7c3d-4791-827c-ee674bf6f2e5>	Hypural diastema: absent
<http://purl.org/phenoscape/uuid/24a589b2-75c5-4773-a9cf-73cde6a70ee1>	<http://purl.org/phenoscape/uuid/04d61868-2281-42e8-94d2-22dfcadd6151>	Branching pattern of the pectoral-fin rays: most rays branch twice, ending in four tips
<http://purl.org/phenoscape/uuid/7503a109-3287-4f8b-b505-a60e8d326a2e>	<http://purl.org/phenoscape/uuid/054094fd-4bc9-41ae-8ea9-a6df926c8768>	Form of dorsal most and ventral most rays of caudal fin: extending into long training filaments
<http://purl.org/phenoscape/uuid/5a28a4d8-6383-4f34-91a5-47affd7cb13a>	<http://purl.org/phenoscape/uuid/0711caa6-bbdd-4ac6-b34b-3424cb4e565b>	All of the individual segments are hourglass-shaped: 
<http://purl.org/phenoscape/uuid/88810f32-c0ba-4ee7-ae53-7aeef3b91351>	<http://purl.org/phenoscape/uuid/0936c6d4-b382-410c-ae79-ad3e57f63aba>	Pectoral fin rays: present
<http://purl.org/phenoscape/uuid/4f00b724-fc2a-4534-92b0-67324b9f9a02>	<http://purl.org/phenoscape/uuid/0a96091d-6a05-44dc-a15e-62aa867ec70e>	dorsal-fin rays: present
<http://purl.org/phenoscape/uuid/857303d9-c993-4007-b765-b7e583b948f6>	<http://purl.org/phenoscape/uuid/0c49ec6a-dc0f-4991-ad38-4c80723ffbde>	Hypurals are: organized into dorsal and ventral plates
<http://purl.org/phenoscape/uuid/f67d7c79-3c67-41ce-9c04-170ca6c2a161>	<http://purl.org/phenoscape/uuid/0d69b06e-8fde-4d20-baff-1d04ab8a4b5a>	Margin of first pectoral ray in adult specimens: (0) not serrated
<http://purl.org/phenoscape/uuid/ff29d882-e686-4b57-96d2-90e2d96eb579>	<http://purl.org/phenoscape/uuid/0e0d3eec-fdfb-4a47-b2e2-dbf5838ddf69>	Pelvic fin: in mature males more elongate than in females and immatures, and with hooks on all rays
<http://purl.org/phenoscape/uuid/9ecdd414-80f6-4005-9c8b-77afd9ee3451>	<http://purl.org/phenoscape/uuid/0e9d0101-bed3-4b47-9bca-b7b5712cc293>	Caudal-fin rays: lacking curved or concave portions
<http://purl.org/phenoscape/uuid/62232c66-3abb-4dd1-afd1-9c0b3e7a9a56>	<http://purl.org/phenoscape/uuid/10a01434-849f-419e-8b33-e32d81f99865>	Distal radial cartilage: present
<http://purl.org/phenoscape/uuid/e4ecb6bc-2e88-4b59-8f99-6b34db7c63e5>	<http://purl.org/phenoscape/uuid/122fcaf6-d9ff-4bce-8cc5-2853f0ac4585>	Proximal segment of second unbranched anal-fin ray: narrow
<http://purl.org/phenoscape/uuid/56f1b159-f21d-43ed-b623-78b0e7305a2e>	<http://purl.org/phenoscape/uuid/1370c06c-5f7a-47db-955c-8aee315889a4>	Pelvic fin: third ray longest
<http://purl.org/phenoscape/uuid/7f6b0994-fb1b-46a7-a5cf-e9207de0259d>	<http://purl.org/phenoscape/uuid/15406164-e2d6-4735-9e03-dc87224d67b9>	Dorsal-fin rays: present
<http://purl.org/phenoscape/uuid/fe039e8d-5a81-4443-b101-417d3aaafa54>	<http://purl.org/phenoscape/uuid/18972338-14c6-42b9-9fb3-49d4f0b1ee88>	Form of procumbent dorsal-fin spine: anteriorly undivided
<http://purl.org/phenoscape/uuid/db641325-6c72-418d-ac1d-3d00864ae116>	<http://purl.org/phenoscape/uuid/18f5e262-8c10-4b22-823b-cd9a9d045c06>	Ventral prongs of the first dorsal-fin spine: short in siluriforms, not extending ventrally to the level of the the proximal radials
<http://purl.org/phenoscape/uuid/c3e1e8f8-7a11-4965-bf54-4d1ee5c2eecd>	<http://purl.org/phenoscape/uuid/1a2f6852-876e-4b72-8047-e404f60b50e0>	Urostyle and upper hypural plate: states 0 and 1
<http://purl.org/phenoscape/uuid/ea2795e4-6950-49bd-affa-0a66fae4f3e6>	<http://purl.org/phenoscape/uuid/1a9fcd45-51f1-4379-bb56-84099d1a4f8e>	Relative length of proximal unsegmented part of lepidotrichium: much greater than segmented part
<http://purl.org/phenoscape/uuid/1640b6bf-8271-4513-bcc1-c8cda6a5375a>	<http://purl.org/phenoscape/uuid/1b1c3798-673e-4df3-8d15-9111aebebda9>	Pelvic fin spine: present with a symmetrical base
<http://purl.org/phenoscape/uuid/6eaeebe9-7fe1-42e8-8e6f-9bae4b61ea7c>	<http://purl.org/phenoscape/uuid/1c979e9f-ef0f-4947-8240-c8f2ea55f9c9>	Pelvic fin elements and pelvic musculature: 11-13, ditto
<http://purl.org/phenoscape/uuid/33928da1-39d0-416a-91af-756b56560be8>	<http://purl.org/phenoscape/uuid/1d0dfbbe-3175-4971-a699-9f346959b6ff>	Anal fin: emarginated, with ii,7 (23) or ii,8* (27) rays
<http://purl.org/phenoscape/uuid/56f1b159-f21d-43ed-b623-78b0e7305a2e>	<http://purl.org/phenoscape/uuid/1d6e32c1-1367-41f7-b01b-66ee98d87bb4>	Pelvic fin: second ray longest
<http://purl.org/phenoscape/uuid/18f224f4-1b99-423a-a82b-3738ba128058>	<http://purl.org/phenoscape/uuid/21fbea13-99ce-4c7a-a5ff-589393c1036a>	Some preural neural arches modified as uroneural-like bones: present
<http://purl.org/phenoscape/uuid/38bfcb6d-6228-4bab-8403-6b00bbbd3b3f>	<http://purl.org/phenoscape/uuid/2248d0b1-16ca-4ad9-93e7-58b20b011ecc>	Anterior rays of dorsal fin of adult males: (0) not elongate
<http://purl.org/phenoscape/uuid/58b5cabe-3898-4bf5-ae60-b7e23e0c47bf>	<http://purl.org/phenoscape/uuid/24a49430-6ad2-4fda-bfff-73f8ea7779f6>	Hypurals 2 and 3: fused
<http://purl.org/phenoscape/uuid/dd4c4ef2-1395-48c3-bdb2-0620b079e7b8>	<http://purl.org/phenoscape/uuid/28473d17-4303-4c4c-a473-37f345fda5ae>	Shape of anterior-most proximal pterygiophore of the dorsal fin: narrow blade
<http://purl.org/phenoscape/uuid/b2050e7b-a3a8-4cca-a646-4df97a19e896>	<http://purl.org/phenoscape/uuid/29487ff4-a2bd-49e2-a758-62077b27124c>	Pectoral-fin rays: present
<http://purl.org/phenoscape/uuid/07ffefcd-5dd9-4754-8832-1eb4b86c26de>	<http://purl.org/phenoscape/uuid/296a92e8-c52c-4bcb-a2dc-903fd07b59ff>	True (azygous, unsegmented, bilaterally fused) dorsal and anal fin spines present (Johnson & Patterson 1993: there are notable exceptions, e.g. many gadiforms and most lampridiforms and a number of Percifor; (Synapomorphy for Euacanthomorpha + Lampridiformes, Wiley & Johnson, 2010)mes? sensu lato.).: True (azygous, unsegmented, bilaterally fused) dorsal and anal fin spines present
<http://purl.org/phenoscape/uuid/615d8033-d5c0-4714-971a-e2626fe31472>	<http://purl.org/phenoscape/uuid/2b522dff-0b60-4e1f-be97-192070e09586>	Hypural 1: fused to compound centrum
<http://purl.org/phenoscape/uuid/0df77d20-1c77-4f62-888d-28590bddd17a>	<http://purl.org/phenoscape/uuid/2d3bce09-ca24-45ae-919a-30bf6fdbdbcd>	Fusion of ventral half of medial pelvic ray to medial half of medial pelvic radial (Johnson 1992); (Synapomorphy for Euryptergia, Wiley & Johnson, 2010): Fusion of ventral half of medial pelvic ray to medial half of medial pelvic radial
<http://purl.org/phenoscape/uuid/1640b6bf-8271-4513-bcc1-c8cda6a5375a>	<http://purl.org/phenoscape/uuid/2dc856f2-bdd4-4573-aea3-a641fe769047>	Pelvic fin spine: present with a complex base
<http://purl.org/phenoscape/uuid/e9db3bc7-b93e-4529-bfd1-913be12df6ed>	<http://purl.org/phenoscape/uuid/350c2688-b5ae-4c0e-8d8c-d96c22b76505>	pectoral fin rays: present
<http://purl.org/phenoscape/uuid/fe039e8d-5a81-4443-b101-417d3aaafa54>	<http://purl.org/phenoscape/uuid/393ae457-902c-4e2d-9005-95fc5a29537b>	Form of procumbent dorsal-fin spine: anteriorly divided
<http://purl.org/phenoscape/uuid/8072b93c-303b-4b5b-afc5-7db5c40f835e>	<http://purl.org/phenoscape/uuid/397b2ee0-7326-4e9c-ae01-cba897ecb365>	Fusion of hemal spine of PU2, parhypural, and hypural 1 to centra: in characiphysans, the haemal spine of PU2 fuses with its centrum, and the parhypural and hypural 1 are fused to the compound centrum at some stage in development. In gymnotoids, the parhypural and hypural are not distinguishable, but all haemal spines and all hypural elements present are fused to the centra
<http://purl.org/phenoscape/uuid/7cdd0e63-5013-42e1-a168-0bacd265648a>	<http://purl.org/phenoscape/uuid/40e99efb-f412-4f18-ae58-0794fd7351f3>	Pectoral-fin rays: present
<http://purl.org/phenoscape/uuid/9faeb780-17a8-4c82-bb20-b527c3b53402>	<http://purl.org/phenoscape/uuid/43321d66-a6f5-47d2-a543-6d19bd6856d5>	Articulation of the first radial with the scapula: in close contact, radial lying in a notch in the scapula
<http://purl.org/phenoscape/uuid/f67d7c79-3c67-41ce-9c04-170ca6c2a161>	<http://purl.org/phenoscape/uuid/480fd92a-4c8f-425d-97c9-55d77d3ad7b3>	Margin of first pectoral ray in adult specimens: (1) conspicuously serrated
<http://purl.org/phenoscape/uuid/c2f916b5-5c6a-42a5-bb46-f49610b1f136>	<http://purl.org/phenoscape/uuid/48b2535e-a969-463b-894c-5aecd3d39502>	Pectoral fin proximal radial 3: third pectoral proximal radial absent
<http://purl.org/phenoscape/uuid/c6f1a3e1-9ed4-4928-9c5c-12c6d2682b56>	<http://purl.org/phenoscape/uuid/4d2d10ce-d49b-4142-9b8a-ed5ce2775ef5>	Pelvic-fin rays: present
<http://purl.org/phenoscape/uuid/20fc4f0b-7bd3-4e13-85e2-791ab66b9739>	<http://purl.org/phenoscape/uuid/4fcbc102-e2ad-4cb3-bbbc-6d4cd70b9b18>	Metapterygium connects with distinct series of  distal radials articulating proximodistally to form a short or long axis: absent
<http://purl.org/phenoscape/uuid/e0180032-83b0-4a3a-bae5-3218918ed0fe>	<http://purl.org/phenoscape/uuid/5f370a40-67ea-4d94-98fb-a3be6fe0c986>	Pectoral-fin rays: I,5
<http://purl.org/phenoscape/uuid/8a1f9929-1cb2-4b3c-b94a-3e3e564cd562>	<http://purl.org/phenoscape/uuid/5fd18bc2-e605-4195-a645-6dbb83e3033a>	Inner caudal rays not expanded: Inner caudal rays not expanded
<http://purl.org/phenoscape/uuid/2b009194-5b1c-4c3a-b0dc-a105e9f21e83>	<http://purl.org/phenoscape/uuid/53722f87-9f10-434c-9a64-5b4e5148ef69>	Relation of hypural plates with PU1: absence of fusion
<http://purl.org/phenoscape/uuid/9e5e51e0-6399-4f42-ac84-62b5b5dc851e>	<http://purl.org/phenoscape/uuid/54716b0d-e01b-4057-bdf0-ad994b8c8d75>	Dorsal fin rays: there are 15-22 bilaterally paired dorsal-fin soft rays (Watson, 1989, includes both species), all unbranched and unsegmented, and no spines
<http://purl.org/phenoscape/uuid/4bd3fd8f-f5b8-4f3e-99b7-e282768a5b4d>	<http://purl.org/phenoscape/uuid/567f407a-4be6-462c-891c-8531803dfb8b>	Most of basal pterygiophores of dorsal and anal fins: long slender rods
<http://purl.org/phenoscape/uuid/879a7d6b-aad8-4d3d-a257-0e5290fea3b5>	<http://purl.org/phenoscape/uuid/600057ea-fc29-46f7-86ba-e82e8b1ebd17>	Anal fin spine: Present
<http://purl.org/phenoscape/uuid/ddc5c86e-23e1-43d7-989b-c610835aa3e5>	<http://purl.org/phenoscape/uuid/6012497c-3120-4682-b8df-0d48769c9ba0>	Form of procumbent dorsal-fin spine: anteriorly divided
<http://purl.org/phenoscape/uuid/6473e2b6-e7de-4d6a-a965-106969f26efc>	<http://purl.org/phenoscape/uuid/6a8cc1d6-190b-4ec4-9f33-dde0fb6e2095>	Anal fin spine: present
<http://purl.org/phenoscape/uuid/0c1b94a1-f14e-45e0-adab-ced29ad1c75e>	<http://purl.org/phenoscape/uuid/6c8c92f7-f9a0-4409-b6a2-e120f3640761>	Pectoral-fin bony hooks in adult males of species bearing hooks on fins: (1) present
<http://purl.org/phenoscape/uuid/e7e048db-ab34-46b7-be4c-db7082080da7>	<http://purl.org/phenoscape/uuid/6c95542b-b9fa-45ad-9769-ac3aaeedf5ae>	First dorsal fin radials: aplesodic
<http://purl.org/phenoscape/uuid/476825be-7e16-48d2-bf99-65de052f9ab1>	<http://purl.org/phenoscape/uuid/6d1ad554-1b17-4fc3-ac6b-19d1a3031740>	Pectoral-fin rays: present
<http://purl.org/phenoscape/uuid/29b84d76-326c-44d7-95b7-c315bb07df75>	<http://purl.org/phenoscape/uuid/6f86b953-f388-46a3-81cd-4776cfe9394f>	Bony hooks on first pelvic-fin ray of adult males: (1) present
<http://purl.org/phenoscape/uuid/7cd809f2-a60e-4d89-930f-bcdf294e4606>	<http://purl.org/phenoscape/uuid/9aa1c671-62c4-4448-b6f4-226b0eb101a5>	Pelvic spine: with complex base
<http://purl.org/phenoscape/uuid/fb624e58-9616-4153-9a1f-fea8de455fbf>	<http://purl.org/phenoscape/uuid/a322fbc6-fa6e-4f8b-bd09-d72d6d1dc91a>	caudal fin: diphycercal
<http://purl.org/phenoscape/uuid/6bfec432-9ecc-44bc-95c7-aac772bf2666>	<http://purl.org/phenoscape/uuid/aec453e7-5fd4-4e36-9a7f-d590fe2b5c20>	(cii.) Endoskeletal fin radials: absent
<http://purl.org/phenoscape/uuid/b5745428-dbcb-4bfb-91d1-dd74f11a2b12>	<http://purl.org/phenoscape/uuid/af773d84-ff54-42aa-b5be-3ce53434b02b>	Ventral orientation of ventralmost ray of upper caudal fin lobe: Ventral orientation of ventralmost ray of upper caudal fin lobe
<http://purl.org/phenoscape/uuid/8e44d9ab-9ce1-4d69-a22f-b96ef0f5320e>	<http://purl.org/phenoscape/uuid/b0aa91c0-72d1-4e5b-9b55-d81114708c30>	anterior dorsal spine enameloid: no spine
<http://purl.org/phenoscape/uuid/cff05c9e-f218-478a-8567-f2d8200371ed>	<http://purl.org/phenoscape/uuid/b145ed4a-c000-4215-9507-fdac97a9b94a>	Degree of ossification of anal-fin bony stay: ossified
<http://purl.org/phenoscape/uuid/aee4fa1b-2ec1-45cc-a4ac-ef1881f3fddc>	<http://purl.org/phenoscape/uuid/b294352c-01b3-4cc5-8f82-a40557c2caa9>	Pectoral-fin ray bony processes: absent
<http://purl.org/phenoscape/uuid/3de2fcfc-57f8-42ef-ab77-5c129fc44dcb>	<http://purl.org/phenoscape/uuid/ba73258c-d97c-4f3e-92cf-3731d11ecbd7>	Caudal fin, shape of (LUND & MELTON 1982; LUND 2000, char. 63, 64 in part; SCHULTZE & CUMBAA 2001, char. 100): diphycercal
<http://purl.org/phenoscape/uuid/0bcfa8ad-e08f-4c0f-9f67-a201a20fd132>	<http://purl.org/phenoscape/uuid/bc5903e5-9698-4b44-8005-63c812667471>	Mesomere 4: absent
<http://purl.org/phenoscape/uuid/2d29a35e-a5e3-4292-9800-9eab3f135cc8>	<http://purl.org/phenoscape/uuid/bcfe7cdf-4c0e-43f3-8148-7cb401490b0b>	Caudal fin bony stays: absent
<http://purl.org/phenoscape/uuid/8e44d9ab-9ce1-4d69-a22f-b96ef0f5320e>	<http://purl.org/phenoscape/uuid/c1e00c5d-2151-447b-9ce3-f67bf825cdb7>	anterior dorsal spine enameloid: absent
<http://purl.org/phenoscape/uuid/39ac5d21-6b69-49a4-9b83-ce49437954e8>	<http://purl.org/phenoscape/uuid/c3f0bb2f-faed-4310-979f-62cb0653ae8b>	Pelvic axillary process: absent
<http://purl.org/phenoscape/uuid/231efcd8-7ece-400e-b49c-5c7b572248b6>	<http://purl.org/phenoscape/uuid/cdc66c28-9d04-4656-8e51-49951e5df0e7>	Urodermal absent: urodermal absent
<http://purl.org/phenoscape/uuid/204896ad-3db5-4855-a4d4-4f8503715753>	<http://purl.org/phenoscape/uuid/cf119f02-ce2a-4934-80a7-71ac8bb5481c>	Posterolateral process of caudal endoskeleton: present
<http://purl.org/phenoscape/uuid/1c28ea19-e389-405b-97be-eff5647d6251>	<http://purl.org/phenoscape/uuid/d3a3e620-bbe5-4221-9c95-48d5aea06597>	adipose fin skeleton: absent
<http://purl.org/phenoscape/uuid/8de8dccc-a848-4530-a601-f9c426149c04>	<http://purl.org/phenoscape/uuid/d4fe3f9d-487e-4a37-aef1-f87ced9e3b64>	anterior dorsal spine shape: triangular
<http://purl.org/phenoscape/uuid/8d92e112-530c-407a-8f80-0427a83b5481>	<http://purl.org/phenoscape/uuid/d5ae9f31-13c3-4330-8aaf-bd87d332d282>	First dorsal fin: not enlarged
<http://purl.org/phenoscape/uuid/c06f1b83-355e-4427-a054-f73207094b95>	<http://purl.org/phenoscape/uuid/e13e8bdf-acec-40d5-93e3-6d7af682be2f>	Ventral extension of dorsal-fin bony stay: present
<http://purl.org/phenoscape/uuid/0bcfa8ad-e08f-4c0f-9f67-a201a20fd132>	<http://purl.org/phenoscape/uuid/e14071b3-573f-4b78-bc5c-1dacdf9c7052>	Mesomere 4: short, relatively broad
<http://purl.org/phenoscape/uuid/bdb02df6-08bc-41b5-a154-1eb71cb8ab12>	<http://purl.org/phenoscape/uuid/e48e3260-764a-45b6-b1cc-20b164546c94>	Upper hypurals and ural centra: remaining free
<http://purl.org/phenoscape/uuid/db7c3e5f-f3e7-4150-83e6-2827f94669e6>	<http://purl.org/phenoscape/uuid/ea7f379e-613c-44b7-a563-782fe84545fc>	Tail (Although apparently pad-shaped, isocercal or diphycercal, the tail of heterostracans is coded here as hypocercal, because it is assumed to be derived from the hypocercal tail of generalized thelodont type by enlargement of the epichordal radials, as suggested by the 'fork-tailed' thelodonts which display the same tail morphology as heterostracans. The actual path of the notochord has, however, never been observed in heterostracans.): epicercal
<http://purl.org/phenoscape/uuid/204896ad-3db5-4855-a4d4-4f8503715753>	<http://purl.org/phenoscape/uuid/ec2a1cc6-b5ca-423b-a84a-adf2279b3029>	Posterolateral process of caudal endoskeleton: absent
<http://purl.org/phenoscape/uuid/cb07a41e-d853-4681-9a46-4c0d6a30ce29>	<http://purl.org/phenoscape/uuid/ee593018-461b-4bae-89f4-e54d3be06453>	Ventral reorientation of the ventralmost ray of the upper caudal fin lobe: Ventral reorientation of the ventralmost ray of the upper caudal fin lobe
<http://purl.org/phenoscape/uuid/57060cb9-6006-4d2f-96ca-71ae64656832>	<http://purl.org/phenoscape/uuid/efc720aa-ac8d-4014-a661-2e6d133a0370>	Caudal fin: diphycercal
<http://purl.org/phenoscape/uuid/64d5ee65-698f-48b4-9b7c-f6e43835ae63>	<http://purl.org/phenoscape/uuid/f23b0bf1-8687-47bc-9ec6-56ce52d424de>	Number of ural centra (in adults): no ural centra
<http://purl.org/phenoscape/uuid/aac98c3a-8485-49ef-ac27-5d373cbbe788>	<http://purl.org/phenoscape/uuid/f2e589e9-4401-4b37-9388-d39f38ac0083>	Ventral extension of dorsal-fin bony stay: absent
<http://purl.org/phenoscape/uuid/35c40236-7a13-4cc6-9b0b-2c8ab2f54f77>	<http://purl.org/phenoscape/uuid/f3bdf7a6-fae7-4001-ae7f-ee13df5c84de>	Caudal fin main lobe: epicercal
<http://purl.org/phenoscape/uuid/b174c16c-a2e2-40ac-9815-8184588756f0>	<http://purl.org/phenoscape/uuid/fbdf8b32-1d97-4cdd-890b-bcd23b0d0012>	Pectoral fin rays (COATES 1999, char. 60): anteriormost pectoral lepidotrichia segmented proximally
<http://purl.org/phenoscape/uuid/84ebda91-59c8-4c0d-a287-b2c7bf9cdcb6>	<http://purl.org/phenoscape/uuid/000e5106-fb63-4e08-baec-80b184728055>	Hypurals 1 and 2: independent
<http://purl.org/phenoscape/uuid/9ea71723-9641-433e-8463-11c984dd38fc>	<http://purl.org/phenoscape/uuid/02065036-da77-4ec9-a849-53c3a2988b4b>	Pectoral-fin rays: i12(35)
<http://purl.org/phenoscape/uuid/3fefb560-e247-4fa9-a051-a52d31badc9f>	<http://purl.org/phenoscape/uuid/045a4757-7e5f-47f4-99cb-f65ba819395f>	Degree of ossification of anal-fin bony stay: ossified
<http://purl.org/phenoscape/uuid/e7b1c5bc-811e-4d75-9e79-71fb38de3720>	<http://purl.org/phenoscape/uuid/069a7fcc-a314-49ec-99ee-52cde6bc78ce>	Barameda and Gooloogongia may be the only rhizodonts in which some branching of the elongate basal segments does occur.: present
<http://purl.org/phenoscape/uuid/9d4f4042-c87e-498f-a4a7-52f0a84ee222>	<http://purl.org/phenoscape/uuid/06e421d0-26ca-421a-b846-c008e476f39d>	Relative length of first pelvic-fin ray of adult males: (0) not extending beyond margin of other rays
<http://purl.org/phenoscape/uuid/aee4fa1b-2ec1-45cc-a4ac-ef1881f3fddc>	<http://purl.org/phenoscape/uuid/07cf6399-b300-43d9-8d42-405ce83e16e0>	Pectoral-fin ray bony processes: present
<http://purl.org/phenoscape/uuid/bb6c4682-5dbb-462b-9869-1c4c84aa3210>	<http://purl.org/phenoscape/uuid/07d8b554-d32b-4925-85e2-d472be837419>	Radials in fins absent (In many mineralized fossils, the presence of radials is inferred from the alignment of the overlying scales or fin rays.): absent
<http://purl.org/phenoscape/uuid/0435e025-9edc-4dd0-ab29-fa77d4225865>	<http://purl.org/phenoscape/uuid/089cf00b-c772-4689-bf53-6d73bc842570>	(T23.) Diphycercal tail continuous with dorsal and anal fins: present
<http://purl.org/phenoscape/uuid/d732d399-5a63-4b43-9eb9-7409cea6028c>	<http://purl.org/phenoscape/uuid/0aa53ce6-ca96-4f05-bd69-ec8f1211b6ab>	Anal-fin shape and relative length of fin rays: Anteriormost fin ray short followed by elongate  rays with rays decreasing in length posteriorly
<http://purl.org/phenoscape/uuid/00a1b525-dd35-43f6-af1f-16efe5916c6b>	<http://purl.org/phenoscape/uuid/10da99c6-0a52-429e-8c1d-d012ded55c83>	epicercal tail (the latter four characters evidenced only in osteostracans among \"ostracoderms\"): absent
<http://purl.org/phenoscape/uuid/129fee4d-ffea-4758-8eec-c6ac99eddaf4>	<http://purl.org/phenoscape/uuid/11f0cf4c-3874-4e4c-8762-158c85d3ab21>	Lepidotrichia: absent
<http://purl.org/phenoscape/uuid/1f4f0059-8f3e-419c-9b26-8eb10eee5f8e>	<http://purl.org/phenoscape/uuid/14500a69-18c8-412b-840b-ace6516b8fc5>	Pectoral rays: i10 or i11
<http://purl.org/phenoscape/uuid/c38bf504-55d0-4548-9f20-aef89497d6e6>	<http://purl.org/phenoscape/uuid/149af80f-c174-4908-bc34-54643c0228a3>	Principal caudal-fin rays: More principal rays in  dorsal lobe or a number equal to that in the ventral lobe
<http://purl.org/phenoscape/uuid/63e10dda-dddf-4fc4-87d8-693a0f3356b0>	<http://purl.org/phenoscape/uuid/1540a7b0-a6b4-41b7-bcac-620e7e35f822>	Anal-fin pterygiophore: present
<http://purl.org/phenoscape/uuid/32481d6a-da3b-4589-a5b2-5cecc7d9a3b6>	<http://purl.org/phenoscape/uuid/16b130e1-240a-4feb-aa23-9d3fb30510d1>	Caudal-fin bony stays: (0) absent
<http://purl.org/phenoscape/uuid/c06b19d5-e494-4601-ba4a-93fe58028c6a>	<http://purl.org/phenoscape/uuid/17ddb01f-f070-4005-ac90-2c1559b7163d>	Proximal portion of pectoral-fin spine: present
<http://purl.org/phenoscape/uuid/20d69678-b8c6-4450-b808-e71b7f1beb7d>	<http://purl.org/phenoscape/uuid/18931476-f527-4c72-8941-3f371a564bc1>	Pectoral fin: with well-developed spine and four unbranched rays
<http://purl.org/phenoscape/uuid/db7c3e5f-f3e7-4150-83e6-2827f94669e6>	<http://purl.org/phenoscape/uuid/1a7109c5-08f4-4d1e-a382-9a640ceb3813>	Tail (Although apparently pad-shaped, isocercal or diphycercal, the tail of heterostracans is coded here as hypocercal, because it is assumed to be derived from the hypocercal tail of generalized thelodont type by enlargement of the epichordal radials, as suggested by the 'fork-tailed' thelodonts which display the same tail morphology as heterostracans. The actual path of the notochord has, however, never been observed in heterostracans.): isocercal
<http://purl.org/phenoscape/uuid/7f86f86a-b237-4e4b-b4d3-9cdacde5ca00>	<http://purl.org/phenoscape/uuid/1f656a3b-ccfc-4480-a0ca-6d58a28a91b3>	Autogenous pelvic cartilages: absent
<http://purl.org/phenoscape/uuid/6fe2e5a2-012f-438a-b09d-e3a3293fd031>	<http://purl.org/phenoscape/uuid/20708d77-0931-49cc-9b30-b44083165507>	Caudal axis upturned steeply, supporting high aspect ratio (lunate) heterocercal tail; elongate hypochordal radials unsegmented or segmented only proximally: present
<http://purl.org/phenoscape/uuid/7d79c16f-1b90-444e-baa9-935bbcb2dd43>	<http://purl.org/phenoscape/uuid/243461d0-e4cb-4da3-b75c-1b687014b4d8>	Distal end of lepidotrichium: branched
<http://purl.org/phenoscape/uuid/b370160b-7ad0-4cdd-a901-0690c2c1d467>	<http://purl.org/phenoscape/uuid/24c3c40d-5f42-4616-af3d-5e0a7ce90151>	Autogenous Pelvic Cartilages: Autogenous pelvic cartilages absent
<http://purl.org/phenoscape/uuid/8d368d6f-1a61-471c-8664-e01327dff12d>	<http://purl.org/phenoscape/uuid/250bbddb-a89f-4bdf-b0c5-b8f2eba5c64e>	Upper hypurals fused to ural centrum: fused to ural centrum
<http://purl.org/phenoscape/uuid/c09eb97e-e3ff-467c-9754-6a44130b15ef>	<http://purl.org/phenoscape/uuid/26259803-5f61-4ae9-a306-f7ff884c9e4f>	larval pectoral fin: present
